tickers,Empresa,Setor
BBAS3,Banco do Brasil,Financeiro
ITUB4,Itaú Unibanco,Financeiro
BBDC4,Bradesco,Financeiro
B3SA3,B3,Financeiro
BPAC11,BTG Pactual,Financeiro
PETR4,Petrobras,Petróleo Gás e Biocombustíveis
PRIO3,Prio,Petróleo Gás e Biocombustíveis
ELET3,Eletrobras,Energia Elétrica
ENEV3,Eneva,Energia Elétrica
EQTL3,Equatorial Energia,Energia Elétrica
VALE3,Vale,Mineração
ABEV3,Ambev,Bebidas
EMBR3,Embraer,Material de Transporte (avião)
CSAN3,Cosan,Açúcar e Álcool
BRFS3,BRF,Alimentos Processados

